Elapsed time,Front travel,Rear travel,Front brake,Rear brake,Acc x,Acc y,Acc z
8.670,27.9,28.3,1,1,-0.86,0.22,2.90
8.671,27.9,28.3,1,1,-0.86,0.22,2.90
8.671,27.9,28.9,1,1,-0.47,0.16,2.30
8.684,28.1,29.4,1,1,-0.07,0.10,1.70
8.685,28.2,30.0,1,1,0.32,0.03,1.09
8.685,28.3,30.6,1,1,0.50,0.06,0.54
8.722,28.4,30.4,1,1,0.69,0.09,-0.00
8.722,28.5,29.7,1,1,0.47,0.18,0.05
8.733,28.9,30.2,1,1,0.42,0.05,0.35
8.733,29.2,30.7,1,1,0.37,-0.08,0.64
8.734,29.5,31.2,1,1,0.53,-0.31,0.88
8.734,29.8,32.4,1,1,0.69,-0.53,1.12
8.735,30.2,33.6,1,1,0.85,-0.76,1.35
8.735,30.2,33.6,1,1,0.85,-0.76,1.35
8.736,30.2,33.6,1,1,0.85,-0.76,1.35
8.736,30.2,33.6,1,1,0.85,-0.76,1.35
8.737,30.2,33.6,1,1,0.85,-0.76,1.35
8.737,30.2,33.6,1,1,0.85,-0.76,1.48
8.749,30.4,33.8,1,1,0.51,-0.52,1.60
8.749,30.7,34.0,1,1,0.26,-0.28,1.32
8.786,30.9,33.8,1,1,0.01,-0.04,1.03
8.787,31.0,33.6,1,1,-0.24,0.20,0.74
8.787,31.2,33.4,1,1,-0.49,0.44,0.34
8.798,31.3,32.6,1,1,-0.23,0.02,0.21
8.798,31.5,31.9,1,1,-0.06,-0.40,0.50
8.799,31.7,31.5,1,1,0.10,-0.81,0.79
8.799,31.8,31.2,1,1,0.27,-1.23,1.07
8.800,32.0,30.9,1,1,0.44,-1.65,1.36
8.800,32.0,30.9,1,1,0.44,-1.65,1.36
8.801,32.0,30.9,1,1,0.44,-1.65,1.36
8.801,32.0,30.9,1,1,0.44,-1.65,1.36
8.802,32.0,30.9,1,1,0.44,-1.65,1.36
8.802,32.0,30.9,1,1,0.44,-1.65,1.36
8.815,32.6,30.3,1,1,0.43,-1.17,0.90
8.852,33.5,29.7,1,1,0.43,-0.70,0.45
8.852,34.5,29.1,1,1,0.43,-0.22,-0.01
8.853,35.4,28.5,1,1,0.43,0.25,-0.47
8.853,36.4,27.9,1,1,0.43,0.73,-0.93
8.854,36.0,27.9,1,1,0.33,0.69,-1.10
8.864,35.2,27.8,1,1,0.24,0.65,-1.28
8.865,34.4,27.8,1,1,0.14,0.61,-1.46
8.865,33.6,27.7,1,1,0.04,0.58,-1.64
8.866,32.9,27.7,1,1,-0.05,0.54,-1.81
8.866,32.9,27.7,1,1,-0.05,0.54,-1.81
8.867,32.9,27.7,1,1,-0.05,0.54,-1.81
8.867,32.9,27.7,1,1,-0.05,0.54,-1.81
9.010,32.9,29.5,1,1,-0.20,0.38,-1.34
9.094,32.3,31.4,1,1,-0.08,0.38,-0.60
9.094,31.7,33.2,1,1,0.04,0.39,0.13
9.095,31.1,35.0,1,1,0.16,0.40,0.87
9.095,30.5,36.9,1,1,0.28,0.40,1.60
9.096,29.8,36.9,1,1,0.55,0.57,1.86
9.096,29.8,36.9,1,1,0.55,0.32,1.80
9.108,29.7,37.8,1,1,0.44,0.07,1.74
9.108,29.5,38.7,1,1,0.32,-0.18,1.68
9.109,29.4,39.7,1,1,0.20,-0.43,1.63
9.109,29.2,40.6,1,1,0.08,-0.68,1.57
9.110,29.1,41.5,1,1,-0.04,-0.68,1.57
9.110,29.1,41.5,1,1,-0.04,-0.68,1.57
9.111,29.1,41.5,1,1,-0.04,-0.68,1.57
9.111,29.1,41.5,1,1,-0.04,-0.68,1.27
9.157,28.9,39.4,1,1,-0.03,-0.69,0.98
9.158,28.7,37.3,1,1,-0.02,-0.70,0.69
9.158,28.6,35.1,1,1,-0.01,-0.70,0.39
9.159,28.4,33.0,1,1,-0.00,-0.71,0.10
9.159,28.2,30.9,1,1,0.01,-0.71,0.10
9.160,28.2,30.9,1,1,0.01,-0.71,0.10
9.160,28.2,30.9,1,1,0.01,-0.71,0.10
9.161,28.2,30.9,1,1,0.01,-0.71,0.10
9.161,28.2,30.9,1,1,0.01,-0.71,0.10
9.162,28.3,30.8,1,1,0.07,-0.93,0.34
9.174,28.4,30.8,1,1,0.13,-1.14,0.57
9.175,28.5,30.8,1,1,0.19,-1.35,0.81
9.175,28.5,30.8,1,1,0.25,-1.57,1.04
9.176,28.6,30.7,1,1,0.22,-1.38,0.92
9.223,28.9,32.4,1,1,0.13,-0.99,0.57
9.223,29.1,34.0,1,1,0.04,-0.59,0.21
9.224,29.4,35.7,1,1,-0.05,-0.19,-0.14
9.224,29.6,37.3,1,1,-0.14,0.20,-0.49
9.225,29.9,38.9,1,1,-0.14,0.20,-0.49
9.225,29.9,38.9,1,1,-0.14,0.20,-0.49
9.226,29.9,38.9,1,1,-0.14,0.20,-0.49
9.226,29.9,38.9,1,1,-0.14,0.20,-0.49
9.227,29.9,38.9,1,1,-0.14,0.20,-0.49
9.227,29.9,38.9,1,1,-0.06,-0.07,-0.56
9.240,29.9,39.2,1,1,0.02,-0.35,-0.63
9.240,30.0,39.5,1,1,0.10,-0.63,-0.69
9.241,30.0,39.8,1,1,0.18,-0.90,-0.76
9.276,30.3,40.6,1,1,0.05,-0.90,-0.52
9.276,30.7,41.3,1,1,-0.16,-0.63,-0.21
9.277,31.0,41.9,1,1,-0.05,-0.17,0.36
9.289,31.4,42.4,1,1,0.06,0.28,0.93
9.290,31.8,42.9,1,1,0.17,0.73,1.49
9.290,31.9,43.0,1,1,0.49,0.91,1.74
9.291,32.0,43.0,1,1,0.82,1.09,2.00
9.291,32.0,43.0,1,1,0.82,1.09,2.00
9.292,32.0,43.0,1,1,0.82,1.09,2.00
9.292,32.0,43.0,1,1,0.82,1.09,2.00
9.292,32.0,43.0,1,1,0.82,1.09,2.00
9.293,32.0,43.0,1,1,0.82,1.09,2.00
9.293,32.0,43.0,1,1,0.82,0.84,2.25
9.306,32.3,42.6,1,1,0.58,0.59,2.49
9.340,33.2,42.0,1,1,0.45,0.31,2.27
9.341,34.1,41.5,1,1,0.33,0.03,2.06
9.341,35.0,40.9,1,1,0.21,-0.25,1.84
9.342,35.9,40.3,1,1,0.09,-0.28,1.38
9.342,36.5,40.2,1,1,0.20,-0.37,0.82
9.355,36.5,40.5,1,1,0.12,-0.42,0.73
9.355,36.5,40.8,1,1,0.03,-0.48,0.63
9.356,36.5,41.1,1,1,-0.06,-0.53,0.54
9.356,36.5,41.5,1,1,-0.15,-0.59,0.45
9.357,36.6,41.8,1,1,-0.24,-0.59,0.45
9.357,36.6,41.8,1,1,-0.24,-0.59,0.45
9.358,36.6,41.8,1,1,-0.24,-0.59,0.45
9.358,36.6,41.8,1,1,-0.24,-0.59,0.45
9.359,36.6,41.8,1,1,-0.24,-0.59,0.69
9.405,36.5,40.8,1,1,-0.25,-0.59,0.93
9.406,36.4,39.8,1,1,-0.25,-0.59,1.18
9.406,36.3,38.8,1,1,-0.26,-0.60,1.42
9.407,36.3,37.9,1,1,-0.27,-0.60,1.67
9.407,36.2,36.9,1,1,-0.28,-0.60,1.67
9.408,36.2,36.9,1,1,-0.28,-0.60,1.67
9.408,36.2,36.9,1,1,-0.28,-0.63,1.56
9.421,36.2,36.9,1,1,-0.21,-0.66,1.45
9.421,36.2,36.8,1,1,-0.13,-0.69,1.34
9.422,36.1,36.8,1,1,-0.06,-0.72,1.22
9.422,36.1,36.8,1,1,0.02,-0.75,1.11
9.423,36.1,36.8,1,1,0.09,-0.75,1.11
9.423,36.1,36.8,1,1,0.09,-0.75,1.11
9.424,36.1,35.9,1,1,0.11,-0.72,1.18
9.470,36.1,35.1,1,1,0.13,-0.70,1.24
9.471,36.2,34.2,1,1,0.15,-0.67,1.31
9.471,36.2,33.4,1,1,0.17,-0.64,1.37
9.472,36.2,32.5,1,1,0.19,-0.62,1.44
9.472,36.3,32.5,1,1,0.19,-0.62,1.44
9.473,36.3,32.5,1,1,0.19,-0.62,1.44
9.473,36.3,32.5,1,1,0.19,-0.62,1.44
9.474,36.3,32.5,1,1,0.19,-0.62,1.44
9.474,36.3,32.5,1,1,0.19,-0.62,1.15
9.487,36.5,32.6,1,1,0.19,-0.50,0.87
9.487,36.7,32.7,1,1,0.19,-0.39,0.58
9.488,36.9,32.8,1,1,0.19,-0.27,0.29
9.488,37.1,32.9,1,1,0.19,-0.16,0.01
9.489,36.8,33.5,1,1,0.20,-0.21,0.05
9.525,36.3,33.9,1,1,0.22,-0.18,0.40
9.536,35.8,33.6,1,1,0.11,-0.15,0.74
9.536,35.2,33.3,1,1,-0.01,-0.12,1.09
9.537,34.7,32.9,1,1,-0.12,-0.08,1.43
9.537,34.6,32.2,1,1,-0.26,0.11,1.72
9.538,34.6,31.5,1,1,-0.39,0.11,1.72
9.538,34.6,31.5,1,1,-0.39,0.11,1.72
9.539,34.6,31.5,1,1,-0.39,0.11,1.72
9.539,34.6,31.5,1,1,-0.39,0.11,1.72
9.540,34.6,31.5,1,1,-0.39,0.11,1.72
9.540,34.6,31.5,1,1,-0.39,0.11,1.73
9.553,34.7,32.0,1,1,-0.23,0.10,1.74
9.553,34.8,32.4,1,1,-0.07,0.09,1.75
9.590,34.8,31.9,1,1,0.07,0.04,1.49
9.591,34.9,31.5,1,1,0.21,-0.01,1.23
9.591,34.9,31.0,1,1,0.35,-0.05,0.96
9.592,34.8,29.4,1,1,0.25,-0.19,0.72
9.602,34.8,27.9,1,1,0.14,-0.33,0.48
9.603,35.0,27.3,1,1,0.06,-0.43,0.51
9.603,35.1,26.7,1,1,-0.02,-0.53,0.54
9.604,35.2,26.1,1,1,-0.11,-0.63,0.57
9.604,35.3,26.1,1,1,-0.11,-0.63,0.57
9.605,35.3,26.1,1,1,-0.11,-0.63,0.57
9.605,35.3,26.1,1,1,-0.11,-0.63,0.57
9.606,35.3,26.1,1,1,-0.11,-0.63,0.57
9.606,35.3,26.1,1,1,-0.11,-0.63,0.57
9.607,35.3,26.4,1,1,-0.03,-0.55,0.68
9.656,35.4,26.4,1,1,0.04,-0.46,0.78
9.656,35.6,26.5,1,1,0.11,-0.38,0.89
9.657,35.7,26.5,1,1,0.18,-0.29,0.99
9.657,35.9,26.6,1,1,0.25,-0.21,1.10
9.658,36.1,25.3,1,1,0.18,-0.09,0.86
9.668,36.2,24.1,1,1,0.10,0.02,0.62
9.669,36.2,23.0,1,1,0.02,0.14,0.39
9.669,36.3,21.9,1,1,-0.06,0.25,0.15
9.670,36.3,20.8,1,1,-0.14,0.37,-0.09
9.670,36.4,20.8,1,1,-0.14,0.37,-0.09
9.671,36.4,20.8,1,1,-0.14,0.37,-0.09
9.671,36.4,20.8,1,1,-0.14,0.37,-0.09
9.672,36.4,20.8,1,1,-0.14,0.37,-0.09
9.672,36.4,22.6,1,1,-0.13,0.37,0.73
9.721,35.9,24.4,1,1,-0.13,0.37,1.55
9.721,35.5,26.2,1,1,-0.13,0.37,2.37
9.722,35.1,28.0,1,1,-0.13,0.37,3.19
9.722,34.6,29.8,1,1,-0.12,0.37,4.01
9.723,34.2,29.8,1,1,-0.12,0.37,4.01
9.723,34.2,29.8,1,1,-0.12,0.16,3.44
9.734,34.7,30.1,1,1,0.00,-0.05,2.86
9.734,35.2,30.4,1,1,0.13,-0.25,2.29
9.735,35.7,30.7,1,1,0.26,-0.46,1.71
9.735,36.2,31.0,1,1,0.39,-0.67,1.14
9.736,36.7,31.3,1,1,0.51,-0.67,1.14
9.736,36.7,31.3,1,1,0.51,-0.67,1.14
9.737,36.7,31.3,1,1,0.51,-0.67,1.14
9.738,37.7,31.1,1,1,0.26,-0.60,0.99
9.785,38.6,30.9,1,1,0.01,-0.53,0.85
9.786,39.6,30.7,1,1,-0.24,-0.46,0.70
9.786,40.5,30.5,1,1,-0.49,-0.40,0.55
9.787,41.5,30.4,1,1,-0.74,-0.33,0.41
9.787,41.5,30.4,1,1,-0.74,-0.33,0.41
9.788,41.5,30.4,1,1,-0.74,-0.33,0.41
9.788,41.5,30.4,1,1,-0.74,-0.17,0.57
9.799,41.5,29.7,1,1,-0.58,-0.02,0.73
9.799,41.6,29.1,1,1,-0.42,0.13,0.89
9.800,41.6,28.4,1,1,-0.25,0.28,1.05
9.800,41.6,27.8,1,1,-0.09,0.43,1.21
9.801,41.7,27.2,1,1,0.07,0.43,1.21
9.801,41.7,27.2,1,1,0.07,0.43,0.78
9.966,41.3,27.2,1,1,0.20,0.23,0.35
9.967,40.9,27.3,1,1,0.33,0.02,-0.09
9.967,40.5,27.3,1,1,0.34,-0.04,-0.22
9.979,39.6,27.2,1,1,0.34,-0.10,-0.36
9.980,38.8,27.0,1,1,0.35,-0.16,-0.06
9.980,38.3,26.8,1,1,0.23,-0.01,0.24
9.981,37.8,26.6,1,1,0.10,0.14,0.54
9.981,37.3,26.4,1,1,0.10,0.14,0.54
9.981,37.3,26.4,1,1,0.10,0.14,0.54
9.982,37.3,26.4,1,1,0.10,0.14,0.54
9.982,37.3,26.4,1,1,0.10,0.14,0.54
9.983,37.3,26.4,1,1,0.10,0.14,0.54
9.983,37.3,26.4,1,1,0.10,0.14,0.54
9.984,37.3,26.4,1,1,0.10,0.14,0.65
10.031,37.3,26.7,1,1,0.05,0.06,0.76
10.031,37.3,27.1,1,1,-0.01,-0.02,0.88
10.032,37.4,27.5,1,1,-0.06,-0.11,0.99
10.032,37.4,27.8,1,1,-0.11,-0.19,1.10
10.032,37.4,28.2,1,1,-0.02,-0.42,0.84
10.044,37.3,28.4,1,1,0.12,-0.57,0.58
10.045,37.2,28.5,1,1,0.26,-0.72,0.32
10.045,37.0,28.7,1,1,0.41,-0.87,0.07
10.046,36.9,28.9,1,1,0.55,-1.02,-0.19
10.046,36.8,29.1,1,1,0.55,-1.02,-0.19
10.047,36.8,29.1,1,1,0.55,-1.02,-0.19
10.047,36.8,29.1,1,1,0.55,-1.02,-0.19
10.048,36.8,29.1,1,1,0.55,-1.02,-0.19
10.048,37.7,29.1,1,1,0.46,-0.87,0.14
10.095,38.5,29.1,1,1,0.37,-0.72,0.48
10.095,39.3,29.2,1,1,0.27,-0.57,0.82
10.096,40.2,29.2,1,1,0.18,-0.42,1.15
10.096,41.0,29.2,1,1,0.09,-0.27,1.49
10.097,41.0,29.2,1,1,0.09,-0.27,1.49
10.097,41.0,29.2,1,1,0.09,-0.27,1.49
10.098,41.0,29.4,1,1,0.12,-0.32,1.42
10.239,41.2,30.0,1,1,0.13,-0.26,1.30
10.275,41.4,30.6,1,1,0.13,-0.21,1.18
10.275,41.6,31.1,1,1,0.13,-0.16,1.06
10.288,41.8,31.4,1,1,0.13,-0.11,0.91
10.288,41.9,31.5,1,1,0.10,-0.01,0.83
10.289,41.9,31.3,1,1,0.10,-0.02,0.87
10.325,41.4,30.7,1,1,0.10,-0.04,0.91
10.326,41.0,30.2,1,1,0.11,-0.05,0.95
10.326,40.6,29.9,1,1,0.11,-0.06,1.05
10.337,40.1,29.4,1,1,0.06,-0.15,1.15
10.337,39.7,28.9,1,1,0.00,-0.22,1.18
10.338,39.6,28.6,1,1,-0.05,-0.30,1.21
10.338,39.5,28.4,1,1,-0.11,-0.38,1.24
10.339,39.5,28.2,1,1,-0.16,-0.46,1.24
10.339,39.5,28.2,1,1,-0.16,-0.46,1.24
10.340,39.5,28.2,1,1,-0.16,-0.46,1.24
10.340,39.5,28.2,1,1,-0.16,-0.46,1.24
10.341,39.5,28.2,1,1,-0.16,-0.46,1.24
10.341,39.5,28.2,1,1,-0.16,-0.46,1.17
10.390,39.7,28.6,1,1,-0.10,-0.47,1.10
10.390,39.9,29.1,1,1,-0.04,-0.48,1.04
10.391,40.0,29.5,1,1,0.02,-0.49,0.97
10.391,40.2,29.9,1,1,0.08,-0.51,0.90
10.392,40.4,30.4,1,1,0.14,-0.52,0.90
10.392,40.4,30.4,1,1,0.14,-0.48,0.85
10.403,40.3,30.1,1,1,0.16,-0.44,0.79
10.403,40.1,29.7,1,1,0.17,-0.40,0.74
10.404,39.9,29.4,1,1,0.18,-0.36,0.68
10.404,39.8,29.1,1,1,0.19,-0.32,0.63
10.405,39.6,28.8,1,1,0.21,-0.32,0.63
10.405,39.6,28.8,1,1,0.21,-0.32,0.63
10.406,39.6,28.8,1,1,0.21,-0.32,0.63
10.406,39.6,29.4,1,1,0.15,-0.28,0.67
10.455,39.5,30.1,1,1,0.10,-0.24,0.72
10.455,39.4,30.7,1,1,0.04,-0.21,0.77
10.456,39.3,31.3,1,1,-0.02,-0.17,0.81
10.456,39.2,31.9,1,1,-0.07,-0.13,0.86
10.457,39.2,31.9,1,1,-0.07,-0.13,0.86
10.457,39.2,31.9,1,1,-0.07,-0.13,0.86
10.458,39.2,31.9,1,1,-0.07,-0.13,0.86
10.458,39.2,31.9,1,1,-0.03,-0.16,0.87
10.469,39.0,32.1,1,1,0.02,-0.18,0.88
10.469,38.8,32.2,1,1,0.06,-0.20,0.89
10.470,38.7,32.4,1,1,0.11,-0.23,0.89
10.470,38.5,32.5,1,1,0.15,-0.25,0.90
10.471,38.4,32.7,1,1,0.14,-0.23,0.92
10.518,38.2,31.7,1,1,0.13,-0.20,0.94
10.519,37.9,30.8,1,1,0.13,-0.18,0.96
10.519,37.7,29.8,1,1,0.12,-0.16,0.98
10.520,37.5,28.9,1,1,0.11,-0.13,1.00
10.520,37.3,27.9,1,1,0.11,-0.13,1.00
10.521,37.3,27.9,1,1,0.11,-0.13,1.00
10.521,37.3,27.9,1,1,0.11,-0.13,1.00
10.522,37.3,27.9,1,1,0.11,-0.13,1.00
10.522,37.3,27.9,1,1,0.11,-0.13,1.00
10.523,37.3,27.9,1,1,0.11,-0.13,1.00
10.523,37.3,27.9,1,1,0.11,-0.13,1.00
10.534,37.5,28.0,1,1,0.07,-0.10,0.99
10.534,37.6,28.1,1,1,0.03,-0.07,0.99
10.535,37.6,28.1,1,1,0.02,-0.04,0.98
10.572,37.6,28.2,1,1,0.01,-0.01,0.96
10.584,37.4,28.1,1,1,-0.01,0.02,0.95
10.584,37.1,28.0,1,1,0.00,0.03,0.94
10.585,36.8,27.8,1,1,0.02,0.04,0.94
10.585,36.7,27.7,1,1,0.01,0.04,0.93
10.586,36.6,27.5,1,1,-0.01,0.05,0.93
10.586,36.6,27.5,1,1,-0.01,0.05,0.93
10.587,36.6,27.5,1,1,-0.01,0.05,0.93
10.587,36.6,27.5,1,1,-0.01,0.05,0.93
10.588,36.6,27.5,1,1,-0.01,0.05,0.93
10.588,36.6,27.5,1,1,-0.01,0.05,0.93
10.589,36.6,27.5,1,1,-0.01,0.05,0.93
10.589,36.6,27.5,1,1,-0.01,0.00,0.97
10.637,36.5,27.6,1,1,0.00,-0.04,1.01
10.637,36.4,27.6,1,1,0.01,-0.09,1.05
10.638,36.2,27.7,1,1,0.02,-0.14,1.09
10.638,36.1,27.7,1,1,0.05,-0.22,1.14
10.650,36.1,27.9,1,1,0.08,-0.25,1.16
10.651,36.2,28.0,1,1,0.10,-0.28,1.18
10.651,36.3,28.1,1,1,0.12,-0.31,1.20
10.652,36.5,28.2,1,1,0.14,-0.34,1.22
10.652,36.6,28.3,1,1,0.14,-0.34,1.22
10.653,36.6,28.3,1,1,0.14,-0.34,1.22
10.653,36.6,28.3,1,1,0.14,-0.34,1.22
10.654,36.6,28.3,1,1,0.14,-0.34,1.22
10.654,36.6,28.3,1,1,0.14,-0.34,1.22
10.655,36.7,28.5,1,1,0.08,-0.35,1.20
10.701,36.7,28.6,1,1,0.03,-0.37,1.18
10.702,36.8,28.8,1,1,-0.03,-0.38,1.16
10.702,36.8,28.9,1,1,-0.09,-0.40,1.14
10.703,36.9,29.1,1,1,-0.14,-0.41,1.12
10.703,36.9,29.1,1,1,-0.14,-0.41,1.12
10.715,36.6,29.7,1,1,-0.15,-0.42,1.12
10.715,36.3,30.4,1,1,-0.16,-0.43,1.12
10.716,36.0,31.0,1,1,-0.16,-0.43,1.12
10.716,35.7,31.6,1,1,-0.17,-0.44,1.12
10.717,35.4,32.3,1,1,-0.17,-0.44,1.12
10.717,35.4,32.3,1,1,-0.17,-0.44,1.12
10.718,35.4,32.3,1,1,-0.17,-0.44,1.12
10.718,35.4,32.4,1,1,-0.16,-0.39,1.09
10.766,35.4,32.4,1,1,-0.14,-0.34,1.06
10.767,35.4,32.5,1,1,-0.12,-0.28,1.03
10.767,35.5,32.6,1,1,-0.11,-0.23,1.00
10.768,35.5,32.7,1,1,-0.09,-0.18,0.97
10.768,35.5,32.7,1,1,-0.09,-0.18,0.97
10.769,35.5,32.7,1,1,-0.09,-0.18,0.97
10.769,35.5,32.7,1,1,-0.09,-0.18,1.06
10.781,35.6,32.5,1,1,-0.09,-0.17,1.15
10.781,35.6,32.3,1,1,-0.08,-0.17,1.24
10.782,35.6,32.1,1,1,-0.08,-0.17,1.33
10.782,35.7,31.8,1,1,-0.07,-0.17,1.42
10.783,35.7,31.6,1,1,-0.07,-0.17,1.42
10.783,35.7,31.6,1,1,-0.01,-0.35,1.58
10.831,35.9,30.7,1,1,0.04,-0.52,1.74
10.832,36.0,29.7,1,1,0.10,-0.69,1.90
10.832,36.2,28.7,1,1,0.15,-0.87,2.06
10.833,36.3,27.7,1,1,0.21,-1.04,2.22
10.833,36.5,26.8,1,1,0.21,-1.04,2.22
10.834,36.5,26.8,1,1,0.21,-1.04,2.22
10.834,36.5,26.8,1,1,0.21,-1.04,2.22
10.835,36.5,26.8,1,1,0.21,-1.04,2.22
10.835,36.5,26.8,1,1,0.21,-0.90,1.82
10.846,36.7,27.0,1,1,0.11,-0.76,1.42
10.846,36.9,27.3,1,1,0.02,-0.62,1.02
10.847,37.1,27.5,1,1,-0.08,-0.48,0.62
10.847,37.2,27.8,1,1,-0.17,-0.34,0.39
10.883,37.4,27.4,1,1,-0.09,-0.33,0.57
10.895,37.2,26.6,1,1,-0.11,-0.26,0.75
10.895,37.0,25.9,1,1,-0.13,-0.19,0.93
10.896,36.8,25.2,1,1,-0.15,-0.12,1.10
10.896,36.6,24.4,1,1,-0.17,-0.04,1.11
10.897,36.4,24.3,1,1,-0.37,0.02,1.11
10.897,36.4,24.3,1,1,-0.37,0.02,1.11
10.898,36.4,24.3,1,1,-0.37,0.02,1.11
10.898,36.4,24.3,1,1,-0.37,0.02,1.11
10.899,36.4,24.3,1,1,-0.37,0.02,1.11
